BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2016-05-30,Yandex clA,YNDX,137,9938485.0,1321.0,1314.5,1326.5,1318.0,1323.0,1317.5,7512,1323.0,1323.0,1318.0,9938485.0,9938485.0,9938485.0,,3,SUR,0.5
TQBR,2016-05-31,Yandex clA,YNDX,1088,89908339.0,1318.0,1304.0,1370.0,1357.0,1345.5,1357.0,66821,1345.5,1345.5,1357.0,89908339.0,89908339.0,89908339.0,,3,SUR,3.0
TQBR,2016-06-01,Yandex clA,YNDX,839,61939704.5,1370.0,1342.5,1390.5,1368.5,1367.5,1369.5,45287,1367.5,1367.5,1368.5,61939704.5,61939704.5,61939704.5,,3,SUR,0.92
TQBR,2016-06-02,Yandex clA,YNDX,711,37023335.0,1369.5,1353.5,1389.5,1371.0,1370.5,1371.0,27014,1370.5,1370.5,1371.0,37023335.0,37023335.0,37023335.0,,3,SUR,0.11
TQBR,2016-06-03,Yandex clA,YNDX,850,52982756.0,1372.5,1358.0,1387.0,1370.0,1374.0,1370.0,38564,1374.0,1374.0,1370.0,52982756.0,52982756.0,52982756.0,,3,SUR,-0.07
TQBR,2016-06-06,Yandex clA,YNDX,1466,88707514.0,1390.0,1383.0,1427.0,1399.5,1403.5,1399.0,63212,1403.5,1403.5,1399.5,88707514.0,88707514.0,88707514.0,,3,SUR,2.12
TQBR,2016-06-07,Yandex clA,YNDX,1097,51992952.5,1405.0,1396.0,1427.0,1413.0,1414.5,1413.0,36754,1414.5,1414.5,1413.0,51992952.5,51992952.5,51992952.5,,3,SUR,1.0
TQBR,2016-06-08,Yandex clA,YNDX,816,38151709.0,1422.0,1410.0,1456.0,1451.5,1433.5,1450.0,26614,1433.5,1433.5,1451.5,38151709.0,38151709.0,38151709.0,,3,SUR,2.62
TQBR,2016-06-09,Yandex clA,YNDX,744,46633779.0,1452.5,1445.0,1476.0,1464.0,1460.5,1464.0,31928,1460.5,1460.5,1464.0,46633779.0,46633779.0,46633779.0,,3,SUR,0.97
TQBR,2016-06-10,Yandex clA,YNDX,1411,54793942.5,1469.0,1430.0,1499.5,1430.0,1459.5,1430.0,37549,1459.5,1459.5,1430.0,54793942.5,54793942.5,54793942.5,,3,SUR,-2.32
TQBR,2016-06-14,Yandex clA,YNDX,1265,87241501.0,1431.0,1371.0,1431.0,1375.5,1393.5,1375.5,62611,1393.5,1393.5,1375.5,87241501.0,87241501.0,87241501.0,,3,SUR,-3.81
